[20:14:52] [INFO] received Windows console close event; shutting log-core down
[20:17:52] [INFO] received Windows console close event; shutting log-core down
[20:29:27] [INFO] received Windows console close event; shutting log-core down
[20:33:26] [INFO] received Windows console close event; shutting log-core down
[20:44:32] [INFO] received Windows console close event; shutting log-core down
[21:01:21] [INFO] received Windows console close event; shutting log-core down
[11:11:34] [INFO] received Windows console close event; shutting log-core down
[11:13:34] [INFO] received Windows console close event; shutting log-core down
[12:27:37] [INFO] received Windows console close event; shutting log-core down
[12:35:27] [INFO] received Windows console close event; shutting log-core down
[12:52:24] [INFO] received Windows console close event; shutting log-core down
[12:59:42] [INFO] received Windows console close event; shutting log-core down
[13:16:13] [INFO] received Windows console close event; shutting log-core down
[13:51:01] [INFO] received Windows console close event; shutting log-core down
[13:54:18] [INFO] received Windows console close event; shutting log-core down
[14:05:15] [INFO] received Windows console close event; shutting log-core down
[14:08:00] [INFO] received Windows console close event; shutting log-core down
[14:12:42] [INFO] received Windows console close event; shutting log-core down
[16:39:51] [INFO] received Windows console close event; shutting log-core down
[17:36:29] [INFO] received Windows console close event; shutting log-core down
[18:12:29] [INFO] received Windows console close event; shutting log-core down
[18:12:30] [INFO] received Windows console close event; shutting log-core down
[18:15:28] [INFO] received Windows console close event; shutting log-core down
[18:21:40] [INFO] received Windows console close event; shutting log-core down
[18:34:02] [INFO] received Windows console close event; shutting log-core down
[19:43:29] [INFO] received Windows console close event; shutting log-core down
[19:44:21] [INFO] received Windows console close event; shutting log-core down
[20:24:40] [INFO] received Windows console close event; shutting log-core down
[20:26:54] [INFO] received Windows console close event; shutting log-core down
[20:32:02] [INFO] received Windows console close event; shutting log-core down
[20:34:08] [INFO] received Windows console close event; shutting log-core down
[20:41:26] [INFO] received Windows console close event; shutting log-core down
[20:53:38] [INFO] received Windows console close event; shutting log-core down
[21:28:27] [INFO] received Windows console close event; shutting log-core down
[21:46:36] [INFO] received Windows console close event; shutting log-core down
[21:56:09] [INFO] received Windows console close event; shutting log-core down
[22:21:03] [INFO] received Windows console close event; shutting log-core down
[11:26:53] [INFO] received Windows console close event; shutting log-core down
[12:30:24] [INFO] received Windows console close event; shutting log-core down
